id,N,M
2010-12-07 00:08:00,2,1
2010-12-07 00:13:00,0,0
2010-12-07 00:18:00,0,0
2010-12-07 00:23:00,0,0
2010-12-07 00:28:00,2,1
2010-12-07 00:33:00,2,1
2010-12-07 00:38:00,0,0
2010-12-07 00:43:00,0,0
2010-12-07 00:48:00,0,0
2010-12-07 00:53:00,0,0
2010-12-07 00:58:00,0,0
2010-12-07 01:03:00,0,0
2010-12-07 01:08:00,0,0
2010-12-07 01:13:00,2,1
2010-12-07 01:18:00,2,1
2010-12-07 01:23:00,0,0
2010-12-07 01:28:00,0,0
2010-12-07 01:33:00,0,0
2010-12-07 01:38:00,0,0
2010-12-07 01:43:00,0,0
2010-12-07 01:48:00,0,0
2010-12-07 01:53:00,2,1
2010-12-07 01:58:00,2,1
2010-12-07 02:03:00,2,1
2010-12-07 02:08:00,0,0
2010-12-07 02:13:00,0,0
2010-12-07 02:18:00,0,0
2010-12-07 02:23:00,0,0
2010-12-07 02:28:00,0,0
2010-12-07 02:33:00,0,0
2010-12-07 02:38:00,0,0
2010-12-07 02:43:00,0,0
2010-12-07 02:48:00,0,0
2010-12-07 02:53:00,0,0
2010-12-07 02:58:00,0,0
2010-12-07 03:03:00,0,0
2010-12-07 03:08:00,0,0
2010-12-07 03:13:00,0,0
2010-12-07 03:18:00,4,3
2010-12-07 03:23:00,4,3
2010-12-07 03:28:00,0,0
2010-12-07 03:33:00,0,0
2010-12-07 03:38:00,0,0
2010-12-07 03:43:00,0,0
2010-12-07 03:48:00,0,0
2010-12-07 03:53:00,0,0
2010-12-07 03:58:00,0,0
2010-12-07 04:03:00,0,0
2010-12-07 04:08:00,0,0
2010-12-07 04:13:00,0,0
2010-12-07 04:18:00,0,0
2010-12-07 04:23:00,0,0
2010-12-07 04:28:00,0,0
2010-12-07 04:33:00,0,0
2010-12-07 04:38:00,0,0
2010-12-07 04:43:00,0,0
2010-12-07 04:48:00,0,0
2010-12-07 04:53:00,0,0
2010-12-07 04:58:00,2,1
2010-12-07 05:03:00,3,3
2010-12-07 05:08:00,4,4
2010-12-07 05:13:00,5,5
2010-12-07 05:18:00,5,5
2010-12-07 05:23:00,3,2
2010-12-07 05:28:00,3,3
2010-12-07 05:33:00,5,6
2010-12-07 05:38:00,4,4
2010-12-07 05:43:00,3,2
2010-12-07 05:48:00,4,3
2010-12-07 05:53:00,3,2
2010-12-07 05:58:00,3,2
2010-12-07 06:03:00,3,2
2010-12-07 06:08:00,3,2
2010-12-07 06:13:00,2,1
2010-12-07 06:18:00,2,1
2010-12-07 06:23:00,0,0
2010-12-07 06:28:00,2,1
2010-12-07 06:33:00,4,2
2010-12-07 06:38:00,4,3
2010-12-07 06:43:00,4,3
2010-12-07 06:48:00,6,4
2010-12-07 06:53:00,7,8
2010-12-07 06:58:00,7,7
2010-12-07 07:03:00,6,4
2010-12-07 07:08:00,8,8
2010-12-07 07:13:00,10,15
2010-12-07 07:18:00,14,17
2010-12-07 07:23:00,17,21
2010-12-07 07:28:00,13,16
2010-12-07 07:33:00,13,11
2010-12-07 07:38:00,13,12
2010-12-07 07:43:00,12,12
2010-12-07 07:48:00,10,11
2010-12-07 07:53:00,13,17
2010-12-07 07:58:00,14,19
2010-12-07 08:03:00,16,22
2010-12-07 08:08:00,19,28
2010-12-07 08:13:00,16,24
2010-12-07 08:18:00,14,25
2010-12-07 08:23:00,17,26
2010-12-07 08:28:00,16,26
2010-12-07 08:33:00,13,21
2010-12-07 08:38:00,11,17
2010-12-07 08:43:00,12,22
2010-12-07 08:48:00,13,22
2010-12-07 08:53:00,17,28
2010-12-07 08:58:00,18,29
2010-12-07 09:03:00,20,25
2010-12-07 09:08:00,20,23
2010-12-07 09:13:00,23,22
2010-12-07 09:18:00,18,17
2010-12-07 09:23:00,18,22
2010-12-07 09:28:00,16,17
2010-12-07 09:33:00,19,19
2010-12-07 09:38:00,22,22
2010-12-07 09:43:00,24,35
2010-12-07 09:48:00,24,41
2010-12-07 09:53:00,28,43
2010-12-07 09:58:00,25,35
2010-12-07 10:03:00,21,25
2010-12-07 10:08:00,25,41
2010-12-07 10:13:00,27,63
2010-12-07 10:18:00,27,67
2010-12-07 10:23:00,23,40
2010-12-07 10:28:00,26,35
2010-12-07 10:33:00,26,35
2010-12-07 10:38:00,25,44
2010-12-07 10:43:00,26,47
2010-12-07 10:48:00,23,45
2010-12-07 10:53:00,26,58
2010-12-07 10:58:00,29,54
2010-12-07 11:03:00,24,40
2010-12-07 11:08:00,22,29
2010-12-07 11:13:00,25,39
2010-12-07 11:18:00,26,37
2010-12-07 11:23:00,28,47
2010-12-07 11:28:00,27,52
2010-12-07 11:33:00,25,41
2010-12-07 11:38:00,27,58
2010-12-07 11:43:00,26,51
2010-12-07 11:48:00,23,44
2010-12-07 11:53:00,19,33
2010-12-07 11:58:00,21,49
2010-12-07 12:03:00,21,53
2010-12-07 12:08:00,22,38
2010-12-07 12:13:00,23,33
2010-12-07 12:18:00,26,44
2010-12-07 12:23:00,27,53
2010-12-07 12:28:00,27,46
2010-12-07 12:33:00,25,41
2010-12-07 12:38:00,20,41
2010-12-07 12:43:00,18,24
2010-12-07 12:48:00,16,19
2010-12-07 12:53:00,16,26
2010-12-07 12:58:00,15,30
2010-12-07 13:03:00,17,25
2010-12-07 13:08:00,21,32
2010-12-07 13:13:00,22,35
2010-12-07 13:18:00,18,42
2010-12-07 13:23:00,19,46
2010-12-07 13:28:00,17,36
2010-12-07 13:33:00,16,21
2010-12-07 13:38:00,16,24
2010-12-07 13:43:00,18,34
2010-12-07 13:48:00,20,47
2010-12-07 13:53:00,18,42
2010-12-07 13:58:00,17,41
2010-12-07 14:03:00,17,30
2010-12-07 14:08:00,13,13
2010-12-07 14:13:00,13,14
2010-12-07 14:18:00,16,32
2010-12-07 14:23:00,16,36
2010-12-07 14:28:00,15,23
2010-12-07 14:33:00,12,12
2010-12-07 14:38:00,14,11
2010-12-07 14:43:00,11,10
2010-12-07 14:48:00,9,9
