id,N,M
2017-07-11 08:00:40,2,1
2017-07-11 08:05:40,6,11
2017-07-11 08:10:40,7,14
2017-07-11 08:15:40,6,12
2017-07-11 08:20:40,7,10
2017-07-11 08:25:40,8,5
2017-07-11 08:30:40,11,9
2017-07-11 08:35:40,11,10
2017-07-11 08:40:40,14,19
2017-07-11 08:45:40,16,32
2017-07-11 08:50:40,21,41
2017-07-11 08:55:40,26,49
2017-07-11 09:00:40,26,45
2017-07-11 09:05:40,27,34
2017-07-11 09:10:40,31,44
2017-07-11 09:15:40,41,67
2017-07-11 09:20:40,47,95
2017-07-11 09:25:40,47,91
2017-07-11 09:30:40,61,157
2017-07-11 09:35:40,74,231
2017-07-11 09:40:40,99,309
2017-07-11 09:45:40,124,358
2017-07-11 09:50:40,144,396
2017-07-11 09:55:40,151,325
2017-07-11 10:00:40,125,137
2017-07-11 10:05:40,107,86
2017-07-11 10:10:40,112,88
2017-07-11 10:15:40,94,75
2017-07-11 10:20:40,92,73
2017-07-11 10:25:40,101,73
2017-07-11 10:30:40,106,77
2017-07-11 10:35:40,134,128
2017-07-11 10:40:40,130,133
2017-07-11 10:45:40,117,96
2017-07-11 10:50:40,104,78
2017-07-11 10:55:40,96,72
2017-07-11 11:00:40,117,96
2017-07-11 11:05:40,125,109
2017-07-11 11:10:40,199,924
2017-07-11 11:15:40,207,1828
2017-07-11 11:20:40,209,1700
2017-07-11 11:25:40,203,1331
2017-07-11 11:30:40,204,1221
2017-07-11 11:35:40,200,1099
2017-07-11 11:40:40,192,703
2017-07-11 11:45:40,144,244
2017-07-11 11:50:40,97,82
2017-07-11 11:55:40,124,128
2017-07-11 12:00:40,120,116
2017-07-11 12:05:40,123,111
2017-07-11 12:10:40,139,150
2017-07-11 12:15:40,128,133
2017-07-11 12:20:40,126,143
2017-07-11 12:25:40,131,149
2017-07-11 12:30:40,125,111
2017-07-11 12:35:40,120,115
2017-07-11 12:40:40,126,121
2017-07-11 12:45:40,134,141
2017-07-11 12:50:40,138,147
2017-07-11 12:55:40,139,164
2017-07-11 13:00:40,157,371
2017-07-11 13:05:40,172,534
2017-07-11 13:10:40,191,673
2017-07-11 13:15:40,208,950
2017-07-11 13:20:40,210,922
2017-07-11 13:25:40,208,728
2017-07-11 13:30:40,197,614
2017-07-11 13:35:40,188,447
2017-07-11 13:40:40,183,470
2017-07-11 13:45:40,184,563
2017-07-11 13:50:40,178,555
2017-07-11 13:55:40,166,466
2017-07-11 14:00:40,154,378
2017-07-11 14:05:40,145,355
2017-07-11 14:10:40,128,271
2017-07-11 14:15:40,137,283
2017-07-11 14:20:40,142,342
2017-07-11 14:25:40,140,274
2017-07-11 14:30:40,147,338
2017-07-11 14:35:40,164,520
2017-07-11 14:40:40,174,541
2017-07-11 14:45:40,158,338
2017-07-11 14:50:40,106,111
2017-07-11 14:55:40,97,80
2017-07-11 15:00:40,99,78
2017-07-11 15:05:40,97,81
2017-07-11 15:10:40,101,90
2017-07-11 15:15:40,128,152
2017-07-11 15:20:40,179,898
2017-07-11 15:25:40,193,1252
2017-07-11 15:30:40,176,943
2017-07-11 15:35:40,167,861
2017-07-11 15:40:40,165,801
2017-07-11 15:45:40,167,782
2017-07-11 15:50:40,162,870
2017-07-11 15:55:40,158,894
2017-07-11 16:00:40,151,725
2017-07-11 16:05:40,147,721
2017-07-11 16:10:40,141,683
2017-07-11 16:15:40,141,515
2017-07-11 16:20:40,132,517
2017-07-11 16:25:40,133,575
2017-07-11 16:30:40,133,565
2017-07-11 16:35:40,127,477
2017-07-11 16:40:40,127,451
2017-07-11 16:45:40,130,476
2017-07-11 16:50:40,124,477
2017-07-11 16:55:40,124,479
2017-07-11 17:00:40,124,436
2017-07-11 17:05:40,125,369
2017-07-11 17:10:40,125,371
2017-07-11 17:15:40,138,445
2017-07-11 17:20:40,143,516
2017-07-11 17:25:40,151,433
2017-07-11 17:30:40,124,198
2017-07-11 17:35:40,81,73
2017-07-11 17:40:40,78,56
2017-07-11 17:45:40,94,66
2017-07-11 17:50:40,104,76
2017-07-11 17:55:40,98,82
2017-07-11 18:00:40,142,278
2017-07-11 18:05:40,149,495
2017-07-11 18:10:40,124,355
2017-07-11 18:15:40,79,160
2017-07-11 18:20:40,64,113
2017-07-11 18:25:40,51,94
2017-07-11 18:30:40,33,68
2017-07-11 18:35:40,20,50
2017-07-11 18:40:40,20,43
