id,N,M
2016-12-01 07:49:40,7,10
2016-12-01 07:54:40,7,13
2016-12-01 07:59:40,7,15
2016-12-01 08:04:40,9,24
2016-12-01 08:09:40,9,28
2016-12-01 08:14:40,9,25
2016-12-01 08:19:40,8,24
2016-12-01 08:24:40,8,21
2016-12-01 08:29:40,9,27
2016-12-01 08:34:40,10,28
2016-12-01 08:39:40,14,41
2016-12-01 08:44:40,22,56
2016-12-01 08:49:40,26,84
2016-12-01 08:54:40,31,93
2016-12-01 08:59:40,34,87
2016-12-01 09:04:40,39,92
2016-12-01 09:09:40,41,68
2016-12-01 09:14:40,24,22
2016-12-01 09:19:40,27,23
2016-12-01 09:24:40,32,27
2016-12-01 09:29:40,33,30
2016-12-01 09:34:40,28,29
2016-12-01 09:39:40,38,48
2016-12-01 09:44:40,41,42
2016-12-01 09:49:40,44,37
2016-12-01 09:54:40,59,80
2016-12-01 09:59:40,62,90
2016-12-01 10:04:40,58,57
2016-12-01 10:09:40,49,52
2016-12-01 10:14:40,56,74
2016-12-01 10:19:40,55,64
2016-12-01 10:24:40,53,49
2016-12-01 10:29:40,57,61
2016-12-01 10:34:40,56,55
2016-12-01 10:39:40,54,47
2016-12-01 10:44:40,87,295
2016-12-01 10:49:40,93,790
2016-12-01 10:54:40,95,988
2016-12-01 10:59:40,94,733
2016-12-01 11:04:40,94,599
2016-12-01 11:09:40,97,586
2016-12-01 11:14:40,90,448
2016-12-01 11:19:40,94,446
2016-12-01 11:24:40,86,238
2016-12-01 11:29:40,57,52
2016-12-01 11:34:40,65,62
2016-12-01 11:39:40,67,61
2016-12-01 11:44:40,61,50
2016-12-01 11:49:40,59,54
2016-12-01 11:54:40,66,57
2016-12-01 11:59:40,65,56
2016-12-01 12:04:40,72,67
2016-12-01 12:09:40,83,88
2016-12-01 12:14:40,78,80
2016-12-01 12:19:40,69,73
2016-12-01 12:24:40,102,427
2016-12-01 12:29:40,103,753
2016-12-01 12:34:40,101,702
2016-12-01 12:39:40,100,641
2016-12-01 12:44:40,99,668
2016-12-01 12:49:40,98,687
2016-12-01 12:54:40,97,697
2016-12-01 12:59:40,96,585
2016-12-01 13:04:40,98,572
2016-12-01 13:09:40,96,545
2016-12-01 13:14:40,91,398
2016-12-01 13:19:40,93,400
2016-12-01 13:24:40,91,530
2016-12-01 13:29:40,94,536
2016-12-01 13:34:40,94,384
2016-12-01 13:39:40,92,334
2016-12-01 13:44:40,92,368
2016-12-01 13:49:40,93,479
2016-12-01 13:54:40,95,387
2016-12-01 13:59:40,71,101
2016-12-01 14:04:40,64,68
2016-12-01 14:09:40,57,53
2016-12-01 14:14:40,53,39
2016-12-01 14:19:40,69,63
2016-12-01 14:24:40,75,83
2016-12-01 14:29:40,64,71
2016-12-01 14:34:40,61,62
2016-12-01 14:39:40,58,58
2016-12-01 14:44:40,56,55
2016-12-01 14:49:40,63,65
2016-12-01 14:54:40,88,335
2016-12-01 14:59:40,91,622
2016-12-01 15:04:40,86,553
2016-12-01 15:09:40,83,420
2016-12-01 15:14:40,82,387
2016-12-01 15:19:40,85,588
2016-12-01 15:24:40,84,526
2016-12-01 15:29:40,64,126
2016-12-01 15:34:40,41,38
2016-12-01 15:39:40,46,36
2016-12-01 15:44:40,46,38
2016-12-01 15:49:40,38,30
2016-12-01 15:54:40,42,34
2016-12-01 15:59:40,45,37
2016-12-01 16:04:40,42,41
2016-12-01 16:09:40,50,53
2016-12-01 16:14:40,57,57
2016-12-01 16:19:40,52,47
2016-12-01 16:24:40,48,37
2016-12-01 16:29:40,46,36
2016-12-01 16:34:40,45,36
2016-12-01 16:39:40,45,35
2016-12-01 16:44:40,43,33
2016-12-01 16:49:40,51,41
2016-12-01 16:54:40,59,47
2016-12-01 16:59:40,51,35
2016-12-01 17:04:40,56,49
2016-12-01 17:09:40,66,131
2016-12-01 17:14:40,70,230
2016-12-01 17:19:40,60,164
2016-12-01 17:24:40,17,23
2016-12-01 17:29:40,11,16
2016-12-01 17:34:40,8,6
