N,M
6,4
8,8
10,15
14,17
17,21
13,16
13,11
13,12
12,12
10,11
13,17
14,19
16,22
19,28
16,24
14,25
17,26
16,26
13,21
11,17
12,22
13,22
17,28
18,29
20,25
20,23
23,22
18,17
18,22
16,17
19,19
22,22
24,35
24,41
28,43
25,35
21,25
25,41
27,63
27,67
23,40
26,35
26,35
25,44
26,47
23,45
26,58
29,54
24,40
22,29
25,39
26,37
28,47
27,52
25,41
27,58
26,51
23,44
19,33
21,49
21,53
22,38
23,33
26,44
27,53
27,46
25,41
20,41
18,24
16,19
16,26
15,30
17,25
21,32
22,35
18,42
19,46
17,36
16,21
16,24
18,34
20,47
18,42
17,41
17,30
13,13
13,14
16,32
16,36
15,23
12,12
14,11
11,10
9,9
17,19
19,28
19,29
23,33
23,32
25,33
23,32
22,31
19,28
20,30
20,29
18,33
21,36
23,41
21,26
22,30
20,30
20,33
20,34
14,17
13,16
16,24
18,27
18,25
17,19
16,13
14,16
16,26
15,21
14,17
14,18
13,15
11,13
11,14
13,18
13,13
13,16
15,18
15,22
17,19
16,16
16,19
15,15
16,16
16,18
13,13
13,18
10,16
9,14
8,11
7,7
5,4
7,8
6,11
7,14
7,11
8,12
8,9
6,6
9,15
9,16
9,14
8,12
8,11
7,10
10,10
9,9
10,9
9,10
7,8
8,12
