N,M
26,45
27,34
31,44
41,67
47,95
47,91
61,157
74,231
99,309
124,358
144,396
151,325
125,137
107,86
112,88
94,75
92,73
101,73
106,77
134,128
130,133
117,96
104,78
96,72
117,96
125,109
199,924
207,1828
209,1700
203,1331
204,1221
200,1099
192,703
144,244
97,82
124,128
120,116
123,111
139,150
128,133
126,143
131,149
125,111
120,115
126,121
134,141
138,147
139,164
157,371
172,534
191,673
208,950
210,922
208,728
197,614
188,447
183,470
184,563
178,555
166,466
154,378
145,355
128,271
137,283
142,342
140,274
147,338
164,520
174,541
158,338
106,111
97,80
99,78
97,81
101,90
128,152
179,898
193,1252
176,943
167,861
165,801
167,782
162,870
158,894
151,725
147,721
141,683
141,515
132,517
133,575
133,565
127,477
127,451
130,476
124,477
124,479
124,436
125,369
125,371
138,445
143,516
151,433
124,198
81,73
78,56
94,66
104,76
98,82
142,278
