N,M
39,92
41,68
24,22
27,23
32,27
33,30
28,29
38,48
41,42
44,37
59,80
62,90
58,57
49,52
56,74
55,64
53,49
57,61
56,55
54,47
87,295
93,790
95,988
94,733
94,599
97,586
90,448
94,446
86,238
57,52
65,62
67,61
61,50
59,54
66,57
65,56
72,67
83,88
78,80
69,73
102,427
103,753
101,702
100,641
99,668
98,687
97,697
96,585
98,572
96,545
91,398
93,400
91,530
94,536
94,384
92,334
92,368
93,479
95,387
71,101
64,68
57,53
53,39
69,63
75,83
64,71
61,62
58,58
56,55
63,65
88,335
91,622
86,553
83,420
82,387
85,588
84,526
64,126
41,38
46,36
46,38
38,30
42,34
45,37
42,41
50,53
57,57
52,47
48,37
46,36
45,36
45,35
43,33
51,41
59,47
51,35
56,49
66,131
70,230
60,164
17,23
11,16
8,6
