N,M
16,19
18,22
22,27
34,36
35,41
38,48
42,46
35,36
45,44
54,52
49,51
45,47
46,46
36,34
48,46
65,57
56,40
49,33
40,24
35,24
44,38
52,54
51,59
59,62
60,64
55,64
53,55
46,30
28,18
36,24
40,31
39,32
41,28
40,24
32,17
26,14
28,16
31,20
40,23
43,29
48,30
46,29
41,24
44,24
43,28
38,24
36,21
33,25
36,36
32,30
31,21
42,28
47,29
47,35
50,48
62,53
73,69
60,55
63,62
71,85
72,82
64,57
54,44
44,31
47,33
56,39
61,48
54,45
53,35
50,35
46,34
46,34
45,27
45,38
52,48
47,37
43,29
36,23
36,30
50,32
39,20
30,18
23,14
28,16
29,17
34,22
43,34
40,29
35,21
40,27
39,26
42,27
50,36
44,27
42,23
51,42
58,44
42,29
31,19
34,19
36,20
29,18
43,30
46,32
32,20
28,15
28,16
28,14
34,19
21,14
21,13
20,10
14,7
14,7
