id,k,np
p0,0.0,2
p1,0.0,3
p2,0.0,4
p3,0.0,5
p4,0.0,6
p5,0.0,7
p6,0.0,8
p7,0.0,9
p8,0.0,10
p9,0.0,11
p10,0.0,12
p11,0.0,13
p12,0.0,14
p13,0.0,15
p14,0.0,16
p15,0.0,17
p16,0.0,18
p17,0.0,19
p18,0.0,20
p19,0.0,21
p20,0.0,22
p21,0.0,23
p22,0.0,24
p23,0.0,25
p24,0.0,26
p25,0.0,27
p26,0.0,28
p27,0.0,29
p28,0.0,30
p29,0.0,31
p30,0.0,32
p31,0.0,33
p32,0.0,34
p33,0.0,35
p34,0.0,36
p35,0.0,37
p36,0.0,38
p37,0.0,39
p38,0.0,40
p39,0.0,41
p40,0.0,42
p41,0.0,43
p42,0.0,44
p43,0.0,45
p44,0.0,46
p45,0.0,47
p46,0.0,48
p47,0.0,49
p48,0.0,50
p49,0.0,51
p50,0.0,52
p51,0.0,53
p52,0.0,54
p53,0.0,55
p54,0.0,56
p55,0.0,57
p56,0.0,58
p57,0.0,59
p58,0.0,60
p59,0.0,61
p60,0.0,62
p61,0.0,63
p62,0.0,64
p63,0.0,65
p64,0.0,66
p65,0.0,67
p66,0.0,68
p67,0.0,69
p68,0.0,70
p69,0.0,71
p70,0.0,72
p71,0.0,73
p72,0.0,74
p73,0.0,75
p74,0.0,76
p75,0.0,77
p76,0.0,78
p77,0.0,79
p78,0.0,80
p79,0.0,81
p80,0.0,82
p81,0.0,83
p82,0.0,84
p83,0.0,85
p84,0.0,86
p85,0.0,87
p86,0.0,88
p87,0.0,89
p88,0.0,90
p89,0.0,91
p90,0.0,92
p91,0.0,93
p92,0.0,94
p93,0.0,95
p94,0.0,96
p95,0.0,97
p96,0.0,98
p97,0.0,99
p98,0.0,100
p99,0.0,101
p100,0.0,102
p101,0.0,103
p102,0.0,104
p103,0.0,105
p104,0.0,106
p105,0.0,107
p106,0.0,108
p107,0.0,109
p108,0.0,110
p109,0.0,111
p110,0.0,112
p111,0.0,113
p112,0.0,114
p113,0.0,115
p114,0.0,116
p115,0.0,117
p116,0.0,118
p117,0.0,119
p118,0.0,120
p119,0.0,121
p120,0.0,122
p121,0.0,123
p122,0.0,124
p123,0.0,125
p124,0.0,126
p125,0.0,127
p126,0.0,128
p127,0.0,129
p128,0.0,130
p129,0.0,131
p130,0.0,132
p131,0.0,133
p132,0.0,134
p133,0.0,135
p134,0.0,136
p135,0.0,137
p136,0.0,138
p137,0.0,139
p138,0.0,140
p139,0.0,141
p140,0.0,142
p141,0.0,143
p142,0.0,144
p143,0.0,145
p144,0.0,146
p145,0.0,147
p146,0.0,148
p147,0.0,149
p148,0.0,150
p149,0.0,151
p150,0.0,152
p151,0.0,153
p152,0.0,154
p153,0.0,155
p154,0.0,156
p155,0.0,157
p156,0.0,158
p157,0.0,159
p158,0.0,160
p159,0.0,161
p160,0.0,162
p161,0.0,163
p162,0.0,164
p163,0.0,165
p164,0.0,166
p165,0.0,167
p166,0.0,168
p167,0.0,169
p168,0.0,170
p169,0.0,171
p170,0.0,172
p171,0.0,173
p172,0.0,174
p173,0.0,175
p174,0.0,176
p175,0.0,177
p176,0.0,178
p177,0.0,179
p178,0.0,180
p179,0.0,181
p180,0.0,182
p181,0.0,183
p182,0.0,184
p183,0.0,185
p184,0.0,186
p185,0.0,187
p186,0.0,188
p187,0.0,189
p188,0.0,190
p189,0.0,191
p190,0.0,192
p191,0.0,193
p192,0.0,194
p193,0.0,195
p194,0.0,196
p195,0.0,197
p196,0.0,198
p197,0.0,199
p198,0.0,200
p199,0.0,201
p200,0.0,202
p201,0.0,203
p202,0.0,204
p203,0.0,205
p204,0.0,206
p205,0.0,207
p206,0.0,208
p207,0.0,209
p208,0.0,210
p209,0.0,211
p210,0.0,212
p211,0.0,213
p212,0.0,214
p213,0.0,215
p214,0.0,216
p215,0.0,217
p216,0.0,218
p217,0.0,219
p218,0.0,220
p219,0.0,221
p220,0.0,222
p221,0.0,223
p222,0.0,224
p223,0.0,225
p224,0.0,226
p225,0.0,227
p226,0.0,228
p227,0.0,229
p228,0.0,230
p229,0.025,2
p230,0.025,3
p231,0.025,4
p232,0.025,5
p233,0.025,6
p234,0.025,7
p235,0.025,8
p236,0.025,9
p237,0.025,10
p238,0.025,11
p239,0.025,12
p240,0.025,13
p241,0.025,14
p242,0.025,15
p243,0.025,16
p244,0.025,17
p245,0.025,18
p246,0.025,19
p247,0.025,20
p248,0.025,21
p249,0.025,22
p250,0.025,23
p251,0.025,24
p252,0.025,25
p253,0.025,26
p254,0.025,27
p255,0.025,28
p256,0.025,29
p257,0.025,30
p258,0.025,31
p259,0.025,32
p260,0.025,33
p261,0.025,34
p262,0.025,35
p263,0.025,36
p264,0.025,37
p265,0.025,38
p266,0.025,39
p267,0.025,40
p268,0.025,41
p269,0.025,42
p270,0.025,43
p271,0.025,44
p272,0.025,45
p273,0.025,46
p274,0.025,47
p275,0.025,48
p276,0.025,49
p277,0.025,50
p278,0.025,51
p279,0.025,52
p280,0.025,53
p281,0.025,54
p282,0.025,55
p283,0.025,56
p284,0.025,57
p285,0.025,58
p286,0.025,59
p287,0.025,60
p288,0.025,61
p289,0.025,62
p290,0.025,63
p291,0.025,64
p292,0.025,65
p293,0.025,66
p294,0.025,67
p295,0.025,68
p296,0.025,69
p297,0.025,70
p298,0.025,71
p299,0.025,72
p300,0.025,73
p301,0.025,74
p302,0.025,75
p303,0.025,76
p304,0.025,77
p305,0.025,78
p306,0.025,79
p307,0.025,80
p308,0.025,81
p309,0.025,82
p310,0.025,83
p311,0.025,84
p312,0.025,85
p313,0.025,86
p314,0.025,87
p315,0.025,88
p316,0.025,89
p317,0.025,90
p318,0.025,91
p319,0.025,92
p320,0.025,93
p321,0.025,94
p322,0.025,95
p323,0.025,96
p324,0.025,97
p325,0.025,98
p326,0.025,99
p327,0.025,100
p328,0.025,101
p329,0.025,102
p330,0.025,103
p331,0.025,104
p332,0.025,105
p333,0.025,106
p334,0.025,107
p335,0.025,108
