id,k,np
p0,0.0,2
p1,0.0,3
p2,0.0,4
p3,0.0,5
p4,0.0,6
p5,0.0,7
p6,0.0,8
p7,0.0,9
p8,0.0,10
p9,0.0,11
p10,0.0,12
p11,0.0,13
p12,0.0,14
p13,0.0,15
p14,0.0,16
p15,0.0,17
p16,0.0,18
p17,0.0,19
p18,0.0,20
p19,0.0,21
p20,0.0,22
p21,0.0,23
p22,0.0,24
p23,0.0,25
p24,0.0,26
p25,0.0,27
p26,0.0,28
p27,0.0,29
p28,0.0,30
p29,0.0,31
p30,0.0,32
p31,0.0,33
p32,0.0,34
p33,0.0,35
p34,0.0,36
p35,0.0,37
p36,0.0,38
p37,0.0,39
p38,0.0,40
p39,0.0,41
p40,0.0,42
p41,0.0,43
p42,0.0,44
p43,0.0,45
p44,0.0,46
p45,0.0,47
p46,0.0,48
p47,0.0,49
p48,0.0,50
p49,0.0,51
p50,0.0,52
p51,0.0,53
p52,0.0,54
p53,0.0,55
p54,0.0,56
p55,0.0,57
p56,0.0,58
p57,0.0,59
p58,0.0,60
p59,0.0,61
p60,0.0,62
p61,0.0,63
p62,0.0,64
p63,0.0,65
p64,0.0,66
p65,0.0,67
p66,0.0,68
p67,0.0,69
p68,0.0,70
p69,0.0,71
p70,0.0,72
p71,0.0,73
p72,0.0,74
p73,0.0,75
p74,0.0,76
p75,0.0,77
p76,0.0,78
p77,0.0,79
p78,0.0,80
p79,0.0,81
p80,0.0,82
p81,0.0,83
p82,0.0,84
p83,0.0,85
p84,0.0,86
p85,0.0,87
p86,0.0,88
p87,0.0,89
p88,0.0,90
p89,0.0,91
p90,0.0,92
p91,0.0,93
p92,0.0,94
p93,0.0,95
p94,0.0,96
p95,0.0,97
p96,0.0,98
p97,0.0,99
p98,0.0,100
p99,0.0,101
p100,0.0,102
p101,0.0,103
p102,0.0,104
p103,0.0,105
p104,0.0,106
p105,0.0,107
p106,0.0,108
p107,0.0,109
p108,0.0,110
p109,0.0,111
p110,0.0,112
p111,0.0,113
p112,0.0,114
p113,0.0,115
p114,0.0,116
p115,0.0,117
p116,0.0,118
p117,0.0,119
p118,0.0,120
p119,0.0,121
p120,0.0,122
p121,0.0,123
p122,0.0,124
p123,0.0,125
p124,0.0,126
p125,0.0,127
p126,0.0,128
p127,0.0,129
p128,0.0,130
p129,0.01,2
p130,0.01,3
p131,0.01,4
p132,0.01,5
p133,0.01,6
p134,0.01,7
p135,0.01,8
p136,0.01,9
p137,0.01,10
p138,0.01,11
p139,0.01,12
p140,0.01,13
p141,0.01,14
p142,0.01,15
p143,0.01,16
p144,0.01,17
p145,0.01,18
p146,0.01,19
p147,0.01,20
p148,0.01,21
p149,0.01,22
p150,0.01,23
p151,0.01,24
p152,0.01,25
p153,0.01,26
p154,0.01,27
p155,0.01,28
p156,0.01,29
p157,0.01,30
p158,0.01,31
p159,0.01,32
p160,0.01,33
p161,0.01,34
p162,0.01,35
p163,0.01,36
p164,0.01,37
p165,0.01,38
p166,0.01,39
p167,0.01,40
p168,0.01,41
p169,0.01,42
p170,0.01,43
p171,0.01,44
p172,0.01,45
p173,0.01,46
p174,0.01,47
p175,0.01,48
p176,0.01,49
p177,0.01,50
p178,0.01,51
p179,0.01,52
p180,0.01,53
p181,0.01,54
p182,0.01,55
p183,0.01,56
p184,0.01,57
p185,0.01,58
p186,0.01,59
p187,0.01,60
p188,0.01,61
p189,0.01,62
p190,0.01,63
p191,0.01,64
p192,0.01,65
p193,0.01,66
p194,0.01,67
p195,0.01,68
p196,0.01,69
p197,0.01,70
p198,0.01,71
p199,0.01,72
p200,0.01,73
p201,0.01,74
p202,0.01,75
p203,0.01,76
p204,0.01,77
p205,0.01,78
p206,0.01,79
p207,0.01,80
p208,0.01,81
p209,0.01,82
p210,0.01,83
p211,0.01,84
p212,0.01,85
p213,0.01,86
p214,0.01,87
p215,0.01,88
p216,0.01,89
p217,0.01,90
p218,0.01,91
p219,0.01,92
p220,0.01,93
p221,0.01,94
p222,0.01,95
p223,0.01,96
p224,0.01,97
p225,0.01,98
p226,0.01,99
p227,0.01,100
p228,0.01,101
p229,0.01,102
p230,0.01,103
p231,0.01,104
p232,0.01,105
p233,0.01,106
p234,0.01,107
p235,0.01,108
p236,0.01,109
p237,0.01,110
p238,0.01,111
p239,0.01,112
p240,0.01,113
p241,0.01,114
p242,0.01,115
p243,0.01,116
p244,0.01,117
p245,0.01,118
p246,0.01,119
p247,0.01,120
p248,0.01,121
p249,0.01,122
p250,0.01,123
p251,0.01,124
p252,0.01,125
p253,0.01,126
p254,0.01,127
p255,0.01,128
p256,0.01,129
p257,0.01,130
p258,0.02,2
p259,0.02,3
p260,0.02,4
p261,0.02,5
p262,0.02,6
p263,0.02,7
p264,0.02,8
p265,0.02,9
p266,0.02,10
p267,0.02,11
p268,0.02,12
p269,0.02,13
p270,0.02,14
p271,0.02,15
p272,0.02,16
p273,0.02,17
p274,0.02,18
p275,0.02,19
p276,0.02,20
p277,0.02,21
p278,0.02,22
p279,0.02,23
p280,0.02,24
p281,0.02,25
p282,0.02,26
p283,0.02,27
p284,0.02,28
p285,0.02,29
p286,0.02,30
p287,0.02,31
p288,0.02,32
p289,0.02,33
p290,0.02,34
p291,0.02,35
p292,0.02,36
p293,0.02,37
p294,0.02,38
p295,0.02,39
p296,0.02,40
p297,0.02,41
p298,0.02,42
p299,0.02,43
p300,0.02,44
p301,0.02,45
p302,0.02,46
p303,0.02,47
p304,0.02,48
p305,0.02,49
p306,0.02,50
p307,0.02,51
p308,0.02,52
p309,0.02,53
p310,0.02,54
p311,0.02,55
p312,0.02,56
p313,0.02,57
p314,0.02,58
p315,0.02,59
p316,0.02,60
p317,0.02,61
p318,0.02,62
p319,0.02,63
p320,0.02,64
p321,0.02,65
p322,0.02,66
p323,0.02,67
p324,0.02,68
p325,0.02,69
p326,0.02,70
p327,0.02,71
p328,0.02,72
p329,0.02,73
p330,0.02,74
p331,0.02,75
p332,0.02,76
p333,0.02,77
p334,0.02,78
p335,0.02,79
